Cycle	11350 mV	11300 mV	11250 mV	11200 mV	11150 mV	11100 mV	11050 mV	11000 mV	10950 mV	10900 mV	10850 mV	10800 mV	DCHG Capacity	CHG Capacity
1	600	1290	2070	2940	3855	4620	5310	5835	6225	7020	7425	7590	2104.191650	2135.870850	
2	630	1320	2100	2970	3840	4620	5310	5805	6225	7035	7425	7575	2104.620850	2117.195801	
3	615	1320	2085	2970	3825	4590	5280	5775	6180	6990	7395	7530	2100.329102	2119.808350	
4	615	1335	2100	2955	3825	4575	5295	5760	6180	6990	7365	7515	2097.779053	2109.637451	
5	630	1335	2100	2955	3825	4605	5280	5775	6180	6990	7365	7515	2099.925049	2101.370850	
6	630	1320	2085	2925	3795	4560	5250	5745	6150	6960	7335	7485	2097.500000	2111.937500	
7	615	1320	2100	2955	3825	4560	5250	5730	6180	6975	7335	7485	2094.399902	2104.274902	
8	615	1320	2100	2985	3795	4560	5220	5730	6135	6960	7320	7470	2096.487549	2100.412598	
9	600	1305	2085	2925	3765	4515	5190	5700	6120	6930	7290	7440	2094.279053	2100.091553	
10	630	1305	2085	2940	3780	4515	5190	5685	6105	6930	7305	7440	2094.362549	2104.245850	
11	630	1320	2100	2940	3780	4530	5220	5685	6120	6945	7305	7455	2092.404053	2099.925049	
12	615	1305	2085	2925	3750	4515	5190	5670	6090	6915	7275	7425	2092.458252	2095.412598	
13	630	1335	2115	2955	3765	4500	5190	5670	6105	6915	7275	7425	2090.925049	2102.125000	
14	600	1320	2100	2910	3735	4485	5160	5640	6060	6885	7260	7395	2092.883301	2098.387451	
15	630	1320	2085	2940	3750	4485	5175	5655	6075	6915	7275	7410	2089.004150	2095.345947	
16	615	1320	2085	2925	3750	4485	5160	5640	6075	6900	7260	7395	2084.941650	2092.916748	
17	615	1305	2070	2925	3750	4455	5145	5640	6045	6885	7245	7380	2087.091553	2091.458252	
18	645	1335	2085	2925	3750	4470	5145	5640	6060	6885	7260	7395	2087.129150	2094.745850	
19	630	1335	2085	2910	3735	4440	5130	5625	6045	6885	7230	7380	2083.341553	2095.433350	
20	630	1320	2070	2940	3720	4440	5145	5610	6045	6855	7215	7365	2083.916748	2086.949951	
21	630	1320	2115	2940	3720	4440	5115	5625	6045	6870	7230	7365	2083.774902	2088.312500	
22	630	1335	2100	2925	3735	4455	5115	5610	6030	6855	7230	7365	2081.945801	2091.720947	
23	630	1320	2085	2895	3705	4410	5100	5595	6015	6840	7215	7350	2080.366699	2087.991699	
24	645	1335	2085	2910	3705	4410	5115	5595	6000	6840	7215	7350	2080.516602	2079.170898	
25	615	1305	2070	2895	3690	4395	5100	5565	6000	6825	7185	7335	2078.333252	2090.179199	
26	630	1305	2070	2895	3690	4410	5085	5580	5985	6825	7185	7335	2080.120850	2079.341553	
27	615	1320	2085	2880	3690	4395	5070	5580	5985	6825	7185	7335	2078.162598	2090.808350	
28	615	1290	2055	2880	3660	4380	5055	5550	5970	6795	7170	7320	2080.300049	2087.108398	
29	630	1350	2085	2895	3690	4395	5070	5565	5985	6825	7185	7320	2074.824951	2083.391602	
30	630	1320	2070	2895	3675	4380	5055	5550	5970	6795	7170	7320	2074.675049	2075.966553	
31	615	1320	2070	2865	3690	4380	5055	5535	5970	6780	7170	7305	2076.316650	2082.262451	
32	615	1320	2040	2865	3660	4350	5040	5535	5955	6765	7140	7290	2073.125000	2081.583252	
33	615	1320	2070	2880	3660	4365	5055	5535	5955	6765	7155	7290	2071.266602	2075.691650	
34	585	1275	2025	2850	3630	4320	5010	5505	5940	6750	7125	7260	2073.429199	2074.087402	
35	630	1320	2070	2880	3660	4365	5040	5535	5955	6765	7155	7305	2071.370850	2076.916748	
36	615	1320	2085	2880	3645	4365	5025	5520	5940	6750	7140	7290	2073.283447	2077.158447	
37	630	1320	2070	2910	3660	4365	5040	5535	5955	6765	7140	7305	2071.837402	2076.520752	
38	645	1305	2070	2865	3645	4350	5040	5505	5940	6750	7140	7275	2069.083252	2078.745850	
39	615	1305	2055	2865	3645	4350	5010	5520	5940	6750	
